time,pm10,pm2_5,nitrogen_dioxide,ozone,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,precipitation,surface_pressure,hour,day_of_week,month,is_weekend,wind_u,wind_v,is_rainy
2024-01-01 00:00:00,14.4,10.2,3.1,29.0,24.8,82,14.5,318,0.0,962.0,0,0,1,0,10.775599969422217,-9.702393792203443,0
2024-01-01 01:00:00,14.6,10.3,2.9,27.0,24.9,79,13.0,316,0.0,962.3,1,0,1,0,9.351417404402461,-9.030558815966968,0
2024-01-01 02:00:00,14.6,10.3,2.6,24.0,24.4,82,14.0,316,0.0,962.9,2,0,1,0,10.070757204741112,-9.725217186425967,0
2024-01-01 03:00:00,14.5,10.2,2.3,22.0,24.1,84,14.8,319,0.0,963.1,3,0,1,0,11.169701787297024,-9.709673629059509,0
2024-01-01 04:00:00,14.1,10.0,2.0,20.0,23.9,86,15.1,322,0.0,962.9,4,0,1,0,11.898962379461501,-9.296488277417438,0
2024-01-01 05:00:00,13.8,9.8,1.7,19.0,23.6,89,15.0,325,0.0,962.5,5,0,1,0,12.287280664334874,-8.603646545265697,0
2024-01-01 06:00:00,13.5,9.7,1.5,18.0,23.3,92,15.7,323,0.0,961.8,6,0,1,0,12.538577507742497,-9.448495863487157,0
2024-01-01 07:00:00,13.6,9.7,1.3,17.0,23.0,94,15.9,321,0.0,961.4,7,0,1,0,12.356620787165832,-10.006194217692421,0
2024-01-01 08:00:00,14.0,10.0,1.1,17.0,23.1,94,15.9,321,0.0,961.1,8,0,1,0,12.356620787165832,-10.006194217692421,0
2024-01-01 09:00:00,14.1,10.2,1.1,18.0,23.2,93,15.7,323,0.0,961.3,9,0,1,0,12.538577507742497,-9.448495863487157,0
2024-01-01 10:00:00,12.5,9.0,1.3,20.0,23.1,94,15.2,324,0.0,961.5,10,0,1,0,12.2970583144992,-8.934335834845594,0
2024-01-01 11:00:00,10.3,7.5,1.7,22.0,23.8,90,19.9,318,0.1,962.4,11,0,1,0,14.788582027000144,-13.315699066541276,1
2024-01-01 12:00:00,8.3,6.0,2.0,23.0,24.9,84,22.7,316,0.0,963.1,12,0,1,0,16.329013467687375,-15.768745009419245,0
2024-01-01 13:00:00,9.4,6.8,1.6,25.0,26.0,80,20.1,317,0.1,963.5,13,0,1,0,14.700209402545331,-13.708167037256215,1
2024-01-01 14:00:00,9.2,6.7,1.2,28.0,27.0,75,21.2,318,0.1,963.5,14,0,1,0,15.754670300120758,-14.185568854807793,1
2024-01-01 15:00:00,9.3,6.7,0.8,31.0,28.4,69,21.9,319,0.0,963.5,15,0,1,0,16.528139806878702,-14.367692734892112,0
2024-01-01 16:00:00,9.1,6.5,0.7,32.0,29.7,64,21.4,319,0.0,962.5,16,0,1,0,16.15078501676732,-14.039663220396857,0
2024-01-01 17:00:00,9.6,7.0,0.6,33.0,30.2,62,21.0,322,0.0,961.4,17,0,1,0,16.548225825741163,-12.928890981838823,0
2024-01-01 18:00:00,10.0,7.2,0.7,33.0,30.6,60,20.1,324,0.0,960.3,18,0,1,0,16.261241586936443,-11.814483571078716,0
2024-01-01 19:00:00,10.6,7.7,0.8,33.0,31.0,60,18.1,319,0.0,959.0,19,0,1,0,13.660243402032172,-11.874668424728185,0
2024-01-01 20:00:00,11.4,8.2,1.0,32.0,31.1,59,18.2,326,0.0,957.9,20,0,1,0,15.08848382050176,-10.177310843167588,0
2024-01-01 21:00:00,11.7,8.5,1.3,31.0,30.5,60,16.0,329,0.0,957.7,21,0,1,0,13.714676811233794,-8.240609198560872,0
2024-01-01 22:00:00,12.0,8.7,2.0,28.0,29.1,67,13.4,333,0.0,957.7,22,0,1,0,11.93948742412413,-6.083472696509929,0
2024-01-01 23:00:00,11.9,8.6,2.8,25.0,27.9,70,13.6,328,0.0,958.5,23,0,1,0,11.53345410772739,-7.206901993571588,0
2024-01-02 00:00:00,12.0,8.7,3.0,15.0,27.0,74,12.9,337,0.0,960.0,0,1,1,0,11.87451260953648,-5.040431557511633,0
2024-01-02 01:00:00,12.7,9.2,2.9,14.0,26.9,73,13.8,319,0.0,960.8,1,1,1,0,10.414992207074253,-9.053614600069002,0
2024-01-02 02:00:00,12.9,9.4,2.7,14.0,26.2,77,14.1,322,0.0,961.8,2,1,1,0,11.11095162585478,-8.68082680209178,0
2024-01-02 03:00:00,13.1,9.5,2.5,13.0,25.8,79,16.5,324,0.0,962.0,3,1,1,0,13.34878040718663,-9.69845666282581,0
2024-01-02 04:00:00,13.2,9.6,2.2,13.0,25.4,81,16.8,318,0.0,961.8,4,1,1,0,12.484833068020224,-11.241394186828817,0
2024-01-02 05:00:00,13.3,9.6,1.8,12.0,25.1,84,16.8,313,0.0,961.3,5,1,1,0,11.457572449049977,-12.286742187202062,0
2024-01-02 06:00:00,13.3,9.6,1.5,12.0,24.7,87,16.6,312,0.0,961.0,6,1,1,0,11.10756806555704,-12.336204102924752,0
2024-01-02 07:00:00,13.1,9.5,1.4,11.0,24.4,88,16.3,317,0.0,960.9,7,1,1,0,11.921065336392482,-11.116573269018723,0
2024-01-02 08:00:00,12.7,9.2,1.4,9.0,24.3,89,15.3,311,0.0,960.7,8,1,1,0,10.037703143554758,-11.547056577408416,0
2024-01-02 09:00:00,12.0,8.6,1.5,9.0,24.1,91,13.8,309,0.0,960.8,9,1,1,0,8.684621396487758,-10.724614268106198,0
2024-01-02 10:00:00,11.1,8.1,1.6,11.0,24.3,90,13.8,313,0.0,961.9,10,1,1,0,9.411577368862481,-10.092681082344551,0
2024-01-02 11:00:00,10.1,7.3,1.8,14.0,23.5,93,10.6,294,1.8,963.2,11,1,1,0,4.311408416603477,-9.68358185101157,1
2024-01-02 12:00:00,10.4,7.5,2.3,18.0,23.5,99,5.8,266,1.2,963.5,12,1,1,0,-0.40458754771592836,-5.78587149150698,1
2024-01-02 13:00:00,10.7,7.7,2.0,23.0,25.5,94,2.9,263,0.6,963.3,13,1,1,0,-0.35342109587492676,-2.878383839759834,1
2024-01-02 14:00:00,9.8,7.0,1.7,29.0,26.6,86,3.6,315,0.2,963.4,14,1,1,0,2.5455844122715705,-2.545584412271572,1
2024-01-02 15:00:00,9.3,6.6,1.4,34.0,27.4,81,8.4,340,0.1,963.4,15,1,1,0,7.8934180146016315,-2.8729692039356163,1
2024-01-02 16:00:00,7.9,5.6,1.3,36.0,29.4,72,8.2,345,0.0,962.7,16,1,1,0,7.92059177557036,-2.1223161698406696,0
2024-01-02 17:00:00,8.4,6.0,1.2,37.0,26.6,82,10.3,306,1.2,961.9,17,1,1,0,6.054188098612472,-8.33287504206196,1
2024-01-02 18:00:00,8.3,5.9,1.3,39.0,28.7,76,5.6,285,0.3,960.8,18,1,1,0,1.4493866525741135,-5.4091846272187825,1
2024-01-02 19:00:00,8.0,5.7,1.4,43.0,29.6,73,2.8,320,0.1,959.6,19,1,1,0,2.1449244407331376,-1.7998053071223108,1
2024-01-02 20:00:00,8.4,5.9,1.5,47.0,29.6,71,1.1,180,0.1,959.1,20,1,1,0,-1.1,1.3471114790620887e-16,1
2024-01-02 21:00:00,8.8,6.2,2.0,48.0,25.9,87,12.1,163,1.4,959.4,21,1,1,0,-11.57128754715273,3.537697627145113,1
2024-01-02 22:00:00,9.3,6.5,3.1,45.0,24.3,94,4.1,225,1.3,959.7,22,1,1,0,-2.8991378028648453,-2.8991378028648445,1
2024-01-02 23:00:00,11.0,7.8,4.5,38.0,24.0,97,4.8,283,0.0,960.8,23,1,1,0,1.0797650608505516,-4.676976310969129,0
2024-01-03 00:00:00,15.4,10.9,11.0,27.0,24.1,96,4.2,200,0.0,961.3,0,2,1,0,-3.9467090073008158,-1.4364846019678084,0
2024-01-03 01:00:00,15.3,10.8,11.2,25.0,24.8,94,7.2,183,0.0,961.1,1,2,1,0,-7.190132650232932,-0.3768188849491937,0
2024-01-03 02:00:00,16.2,11.4,11.4,23.0,24.6,93,8.0,185,0.0,961.6,2,2,1,0,-7.969557584733964,-0.6972459419812636,0
2024-01-03 03:00:00,15.1,10.6,10.9,21.0,24.0,92,8.4,187,0.7,962.3,3,2,1,0,-8.337387673787106,-1.0237024846032374,1
2024-01-03 04:00:00,15.0,10.6,8.9,21.0,23.2,98,4.5,209,1.6,962.3,4,2,1,0,-3.9357886821272814,-2.181643291108516,1
2024-01-03 05:00:00,14.6,10.2,6.2,21.0,23.1,98,4.6,108,2.6,961.9,5,2,1,0,-1.4214781741247577,4.374859974957706,1
2024-01-03 06:00:00,14.3,10.1,4.0,22.0,22.5,100,5.5,157,1.6,961.1,6,2,1,0,-5.062776693988422,2.149021206691006,1
2024-01-03 07:00:00,12.4,8.7,2.9,22.0,22.5,98,8.2,151,0.0,960.8,7,2,1,0,-7.171881598543044,3.9754388860199645,0
2024-01-03 08:00:00,9.7,6.8,2.4,23.0,22.7,98,10.4,146,0.0,961.0,8,2,1,0,-8.621990754572433,5.815606196095768,0
2024-01-03 09:00:00,7.5,5.3,2.1,25.0,22.7,98,10.7,132,0.0,962.1,9,2,1,0,-7.159697488039782,7.951649632608118,0
2024-01-03 10:00:00,5.8,4.1,2.2,29.0,22.4,98,14.1,140,0.0,963.0,10,2,1,0,-10.801226647977588,9.063305296580207,0
2024-01-03 11:00:00,5.8,4.0,2.5,35.0,22.5,96,16.0,149,0.0,963.9,11,2,1,0,-13.714676811233796,8.24060919856087,0
2024-01-03 12:00:00,11.3,7.9,2.1,42.0,23.7,90,19.1,158,0.1,964.7,12,2,1,0,-17.709211622225638,7.154985934243924,1
2024-01-03 13:00:00,12.6,8.8,1.7,47.0,27.6,72,15.6,154,0.0,964.8,13,2,1,0,-14.021187122267005,6.838589889909605,0
2024-01-03 14:00:00,15.1,10.5,1.2,54.0,28.9,63,20.6,153,0.0,964.7,14,2,1,0,-18.354734398280378,9.352204294634666,0
2024-01-03 15:00:00,17.9,12.5,0.9,59.0,29.7,62,17.8,148,0.0,964.7,15,2,1,0,-15.095256111584384,9.432562903351048,0
2024-01-03 16:00:00,15.4,10.7,0.9,59.0,30.0,62,15.1,142,0.2,963.9,16,2,1,0,-11.8989623794615,9.296488277417442,1
2024-01-03 17:00:00,14.1,9.8,1.1,58.0,31.3,58,11.8,149,0.1,962.9,17,2,1,0,-10.114574148284925,6.077449283938642,1
2024-01-03 18:00:00,14.3,9.9,1.3,57.0,24.2,94,10.9,84,6.0,962.4,18,2,1,0,1.1393602496174227,10.84028865951418,1
2024-01-03 19:00:00,15.1,10.5,1.5,59.0,27.2,83,8.9,153,0.0,960.8,19,2,1,0,-7.929958065276474,4.040515447681967,0
2024-01-03 20:00:00,14.6,10.1,1.7,61.0,29.0,69,12.8,140,0.2,960.2,20,2,1,0,-9.805368871922918,8.227681403987706,1
2024-01-03 21:00:00,13.9,9.6,2.0,62.0,28.4,71,13.9,149,0.0,960.3,21,2,1,0,-11.91462547975936,7.159029241249756,0
2024-01-03 22:00:00,14.3,10.0,2.6,58.0,27.3,76,11.8,142,0.0,960.9,22,2,1,0,-9.29852689255932,7.264805408842769,0
2024-01-03 23:00:00,14.2,9.9,3.4,53.0,26.2,80,9.1,146,0.0,961.9,23,2,1,0,-7.544241910250879,5.0886554215837965,0
2024-01-04 00:00:00,16.1,11.2,3.8,47.0,25.5,85,11.0,142,0.0,963.3,0,3,1,0,-8.668118289673941,6.772276228582243,0
2024-01-04 01:00:00,13.5,9.4,3.5,46.0,25.3,78,11.7,171,0.0,962.7,1,3,1,0,-11.55595358496311,1.8302832409707024,0
2024-01-04 02:00:00,11.1,7.7,3.1,44.0,25.3,75,10.4,166,0.0,963.4,2,3,1,0,-10.091075553270363,2.5159877142365445,0
2024-01-04 03:00:00,9.7,6.8,2.8,42.0,25.2,74,10.0,165,0.0,963.9,3,3,1,0,-9.659258262890681,2.58819045102521,0
2024-01-04 04:00:00,9.1,6.3,2.6,40.0,24.7,77,10.5,139,0.1,963.5,4,3,1,0,-7.924450592339106,6.888619804400326,1
2024-01-04 05:00:00,8.9,6.2,2.5,37.0,24.9,77,10.0,165,0.1,962.8,5,3,1,0,-9.659258262890681,2.58819045102521,1
2024-01-04 06:00:00,8.9,6.2,2.4,35.0,24.7,76,8.8,168,0.0,962.3,6,3,1,0,-8.607698886457491,1.829622879196282,0
2024-01-04 07:00:00,8.9,6.3,2.3,33.0,24.4,76,10.0,167,0.0,962.2,7,3,1,0,-9.743700647852352,2.249510543438652,0
2024-01-04 08:00:00,9.2,6.4,2.2,30.0,24.1,78,10.2,148,0.0,962.3,8,3,1,0,-8.650090580795544,5.40517649517869,0
2024-01-04 09:00:00,9.3,6.5,2.3,31.0,23.5,84,12.0,123,0.0,963.0,9,3,1,0,-6.5356684201803255,10.064046815345089,0
2024-01-04 10:00:00,9.7,6.8,2.7,35.0,23.0,89,11.7,133,0.0,963.5,10,3,1,0,-7.979380812731231,8.556838308944295,0
2024-01-04 11:00:00,11.1,7.7,3.2,42.0,24.1,86,7.7,139,0.0,964.4,11,3,1,0,-5.811263767715345,5.051654523226906,0
2024-01-04 12:00:00,5.3,3.7,3.3,59.0,25.7,80,11.1,115,0.0,965.9,12,3,1,0,-4.691062705321762,10.060016436106816,0
2024-01-04 13:00:00,5.4,3.7,2.7,67.0,28.5,69,11.5,139,0.0,965.8,13,3,1,0,-8.679160172561879,7.544678833390834,0
2024-01-04 14:00:00,4.2,2.9,1.8,78.0,29.9,59,15.3,141,0.0,965.9,14,3,1,0,-11.890333210291656,9.628601983062513,0
2024-01-04 15:00:00,2.9,2.0,1.1,86.0,30.8,55,15.3,135,0.0,965.5,15,3,1,0,-10.818733752154177,10.818733752154179,0
2024-01-04 16:00:00,2.5,1.7,0.9,87.0,32.2,52,13.8,123,0.0,964.7,16,3,1,0,-7.516018683207374,11.573653837646852,0
